Country,Requests,Dates
US,3700891000,2015-05-01 00:00:00
GB,833146000,2015-05-01 00:00:00
IN,451481000,2015-05-01 00:00:00
IR,433311000,2015-05-01 00:00:00
CA,364405000,2015-05-01 00:00:00
AU,255414000,2015-05-01 00:00:00
--,227057000,2015-05-01 00:00:00
DE,175259000,2015-05-01 00:00:00
CN,94949000,2015-05-01 00:00:00
FR,93966000,2015-05-01 00:00:00
PH,90328000,2015-05-01 00:00:00
NL,82010000,2015-05-01 00:00:00
IE,70831000,2015-05-01 00:00:00
BR,61480000,2015-05-01 00:00:00
MY,61279000,2015-05-01 00:00:00
JP,60345000,2015-05-01 00:00:00
SG,60041000,2015-05-01 00:00:00
SE,57711000,2015-05-01 00:00:00
IT,57035000,2015-05-01 00:00:00
RU,53805000,2015-05-01 00:00:00
ID,50435000,2015-05-01 00:00:00
ES,47452000,2015-05-01 00:00:00
KR,46926000,2015-05-01 00:00:00
NZ,45471000,2015-05-01 00:00:00
PK,44352000,2015-05-01 00:00:00
NO,43756000,2015-05-01 00:00:00
ZA,43660000,2015-05-01 00:00:00
PL,39751000,2015-05-01 00:00:00
MX,39442000,2015-05-01 00:00:00
TR,39177000,2015-05-01 00:00:00
HK,34370000,2015-05-01 00:00:00
RO,31705000,2015-05-01 00:00:00
GR,31247000,2015-05-01 00:00:00
AE,30903000,2015-05-01 00:00:00
DK,30781000,2015-05-01 00:00:00
FI,29907000,2015-05-01 00:00:00
BE,29238000,2015-05-01 00:00:00
SA,28687000,2015-05-01 00:00:00
TH,28099000,2015-05-01 00:00:00
TW,27016000,2015-05-01 00:00:00
CH,25181000,2015-05-01 00:00:00
IL,25171000,2015-05-01 00:00:00
VN,24469000,2015-05-01 00:00:00
UA,21706000,2015-05-01 00:00:00
CZ,21344000,2015-05-01 00:00:00
PT,19531000,2015-05-01 00:00:00
RS,17993000,2015-05-01 00:00:00
HU,17816000,2015-05-01 00:00:00
BG,17524000,2015-05-01 00:00:00
HR,16354000,2015-05-01 00:00:00
AT,16078000,2015-05-01 00:00:00
AR,16072000,2015-05-01 00:00:00
NG,15198000,2015-05-01 00:00:00
EG,14642000,2015-05-01 00:00:00
BD,14413000,2015-05-01 00:00:00
CL,12879000,2015-05-01 00:00:00
CO,11656000,2015-05-01 00:00:00
LK,9862000,2015-05-01 00:00:00
VE,9364000,2015-05-01 00:00:00
SI,9088000,2015-05-01 00:00:00
SK,8910000,2015-05-01 00:00:00
KE,8164000,2015-05-01 00:00:00
LT,7687000,2015-05-01 00:00:00
PR,7577000,2015-05-01 00:00:00
PE,7322000,2015-05-01 00:00:00
QA,7037000,2015-05-01 00:00:00
